point_key,point_label,operator_key,tso_eic_code,operator_label,direction_key,valid_from,valid_to,has_data,is_virtualized_commercially,virtualized_commercially_since,is_virtualized_operationally,virtualized_operationally_since,is_pipe_in_pipe,related_operators,related_points,pipe_in_pipe_with_tso_key,pipe_in_pipe_with_tso_label,is_double_reporting,double_reporting_with_tso_key,double_reporting_with_tso_label,tso_item_identifier,tp_tso_item_label,tp_tso_valid_from,tp_tso_valid_to,tp_tso_remarks,tp_tso_conversion_factor,tp_rmk_grid_conversion_factor_capacity_default,tp_tso_gcv_min,tp_tso_gcv_max,tp_tso_gcv_remarks,tp_tso_gcv_unit,tp_tso_entry_exit_type,multi_annual_contracts_is_available,multi_annual_contracts_remarks,annual_contracts_is_available,annual_contracts_remarks,half_annual_contracts_is_available,half_annual_contracts_remarks,quarterly_contracts_is_available,quarterly_contracts_remarks,monthly_contracts_is_available,monthly_contracts_remarks,daily_contracts_is_available,daily_contracts_remarks,day_ahead_contracts_is_available,day_ahead_contracts_remarks,available_contracts_remarks,sentence_cmp_unsuccessful,sentence_cmp_unavailable,sentence_cmp_auction,sentence_cmp_made_available,last_update_date_time,is_invalid,is_cam_relevant,is_cmp_relevant,booking_platform_key,booking_platform_label,booking_platform_url,virtual_reverse_flow,virtual_reverse_flow_remark,t_so_country,t_so_balancing_zone,cross_border_point_type,e_u_relationship,connected_operators,adjacent_tso_eic,adjacent_operator_key,adjacent_country,point_type,id_point_type,adjacent_zones,id,data_set,region,adjacent_region,url
UGS-00428,UGS RAG Storage Pool (AT),AT-SSO-0001,                ,RAG,entry,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,,In-country EU,within EU,,,,AT,Storage point,6,Austria,5AT-SSO-0001UGS-00428entry,5,Western Europe,Western Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
UGS-00428,UGS RAG Storage Pool (AT),AT-SSO-0001,                ,RAG,exit,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,,In-country EU,within EU,,,,AT,Storage point,6,Austria,5AT-SSO-0001UGS-00428exit,5,Western Europe,Western Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
UGS-00427,UGS OMV Storage Pool (AT),AT-SSO-0002,                ,OMV Gas Storage,entry,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,,In-country EU,within EU,,,,AT,Storage point,6,Austria,5AT-SSO-0002UGS-00427entry,5,Western Europe,Western Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
UGS-00427,UGS OMV Storage Pool (AT),AT-SSO-0002,                ,OMV Gas Storage,exit,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,,In-country EU,within EU,,,,AT,Storage point,6,Austria,5AT-SSO-0002UGS-00427exit,5,Western Europe,Western Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00043,Mosonmagyarovar,AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,entry,,,True,False,,False,,False,,,,,,,,21Z000000000003C,Mosonmagyarovar,2023-01-01,2050-09-30,,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,False,RBP,RBP,https://rbp.eu/,Yes,,AT,Austria,Cross-Border EU|EU,within EU,FGSZ,21X-HU-A-A0A0A-8,HU-TSO-0001,HU,Cross-Border Transmission IP within EU,0,Hungary,5AT-TSO-0001ITP-00043entryHU-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00043,Mosonmagyarovar,AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,exit,,,True,False,,False,,False,,,,,,,,21Z000000000003C,Mosonmagyarovar,2013-02-18,2037-12-31,Entry: interruptible capacity only,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,True,RBP,RBP,https://rbp.eu/,No,,AT,Austria,Cross-Border EU|EU,within EU,FGSZ,21X-HU-A-A0A0A-8,HU-TSO-0001,HU,Cross-Border Transmission IP within EU,0,Hungary,5AT-TSO-0001ITP-00043exitHU-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00062,Baumgarten (Gas Connect Austria),AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,entry,,,True,False,,False,,False,,,,,,,,21Z0000000000600,Baumgarten,2013-02-15,2037-12-31,,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,AT,Austria,Cross-Border EU|EU,within EU,Eustream,21X-SK-A-A0A0A-N,SK-TSO-0001,SK,Cross-Border Transmission IP within EU,0,Slovakia,5AT-TSO-0001ITP-00062entrySK-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00062,Baumgarten (Gas Connect Austria),AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,exit,,,False,False,,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2024-07-22T06:07:18+02:00,False,,,,,,No,,AT,Austria,Cross-Border EU|EU,within EU,Eustream,21X-SK-A-A0A0A-N,SK-TSO-0001,SK,Cross-Border Transmission IP within EU,0,Slovakia,5AT-TSO-0001ITP-00062exitSK-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00079,Murfeld (AT) / Ceršak (SI),AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,entry,,,True,False,,False,,False,,,,,,,,21Z0000000000058,Murfeld,2023-01-01,2050-09-30,,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,False,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,Yes,,AT,Austria,Cross-Border EU|EU,within EU,Plinovodi,21X-SI-A-A0A0A-8,SI-TSO-0001,SI,Cross-Border Transmission IP within EU,0,Slovenia,5AT-TSO-0001ITP-00079entrySI-TSO-0001,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00079,Murfeld (AT) / Ceršak (SI),AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,exit,,,True,False,,False,,False,,,,,,,,21Z0000000000058,Murfeld,2013-02-18,2037-12-31,Entry: interruptible capacity only,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,AT,Austria,Cross-Border EU|EU,within EU,Plinovodi,21X-SI-A-A0A0A-8,SI-TSO-0001,SI,Cross-Border Transmission IP within EU,0,Slovenia,5AT-TSO-0001ITP-00079exitSI-TSO-0001,5,Western Europe,Southern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00162,Baumgarten (WAG),AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,entry,,,True,False,,False,,False,,,,,,,,21Z000000000163R,Baumgarten WAG,2013-04-25,2037-12-31,,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,AT,Austria,Cross-Border EU|EU,within EU,Eustream,21X-SK-A-A0A0A-N,SK-TSO-0001,SK,Cross-Border Transmission IP within EU,0,Slovakia,5AT-TSO-0001ITP-00162entrySK-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00162,Baumgarten (WAG),AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,exit,,,True,False,,False,,False,,,,,,,,21Z000000000163R,Baumgarten WAG,2013-04-25,2037-12-31,,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,True,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,AT,Austria,Cross-Border EU|EU,within EU,Eustream,21X-SK-A-A0A0A-N,SK-TSO-0001,SK,Cross-Border Transmission IP within EU,0,Slovakia,5AT-TSO-0001ITP-00162exitSK-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
ITP-00255,Petrzalka,AT-TSO-0001,21X-AT-B-A0A0A-K,Gas Connect Austria,exit,,,True,False,,False,,False,,,,,,,,21Z000000000175K,Petrzalka,2013-02-18,2037-12-31,Entry: interruptible capacity only,1.000000,,11.260000,,,kWh/Nm³,,False,,True,,False,,True,"Quarterly contracts are starting with 01 Jan, 01 Apr, 01 Jul, 01 Oct of relevant year",True,Monthly contracts are starting with 01 of relevant month,False,,True,,,Currently there are no request for firm capacity products on this point with a duration of one month or longer that weren't successfully fulfilled.,Currently firm products with a duration of one month or longer are offered on this point in the regular allocation process.,Currently there are no firm capacity products on this point with a duration of one month or longer auctioned having cleared with an auction premium.,Currently no capacity has been made available on this point through the application of the congestion-management procedures.,2024-07-22T06:07:18+02:00,False,True,False,PRISMA,PRISMA,https://platform.prisma-capacity.eu/,No,,AT,Austria,Cross-Border EU|EU,within EU,Eustream,21X-SK-A-A0A0A-N,SK-TSO-0001,SK,Cross-Border Transmission IP within EU,0,Slovakia,5AT-TSO-0001ITP-00255exitSK-TSO-0001,5,Western Europe,Eastern Europe,https://transparency.entsog.eu/api/v1/operatorpointdirections?limit=-1&timeZone=UCT
